软件实验中心实验环境情况表,,,,,
序号,实验室房间号,实验室名称,支撑的课程（每门课程一行）,实验软件环境（操作系统名称和版本，上课用的软件名称和版本，其他要求等）,实验硬件环境（PC的品牌型号，其他要求等）
示例,513-514,软件质量与测试实验室,云服务工程名称,"至少50台电脑/服务器，局域网络链接，模拟构建云服务器和网络节点。
每台电脑/服务器上安装的系统软件环境如下：
1、Powerdesign16.7
2、Myeclipse2017
3、Tomcat9.0.5
4、Wildfly10.1.0 final
5、SQLyog_Enterprise
6、MySQL-8.0.29-winx64
7、Windows 10",联想MT8000
,505-506,大数据与软件技术教学实验室,面向对象程序设计,"win-10
1、Dev C++5.11
2、visual studio 2010",惠普
,,,,,
,,,,,
,,,计算机网络实验,"win-10
1、wireShark3.6.2
2、能连互联网",
,,,,,
,,,,,
,,,高级语言程序设计,"win-10
1、Dev C++5.11
2、visual studio 2010",
,,,,,
,,,,,
,,,操作系统原理,"ubuntu
1、gcc",
,,,,,
,518-519,软件工程专业教学实验室,面向对象程序设计,"win7
1、Dev C++5.11
2、visual studio 2010",联想ThinkCenter
,,,,,
,,,,,
,,,面向对象技术,"win7
1、Dev C++5.11
2、visual studio 2010
3、eclipse 2023.6",
,,,,,
,,,,,
,,,,,
,,,计算机网络实验,"win-10
1、wireShark3.6.2
2、能连互联网",
,,,,,
,,,,,
,,,高级语言程序设计,"win-10
1、Dev C++5.11
2、visual studio 2010",
,,,,,
,,,,,
,,,操作系统原理,"ubuntu
1、gcc",
,,,,,
